activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5de4854a88d5b00002571d09,5d9f89dd18bb460002151a1f,2019-12-09,SUPER SAÚDE NUTRI,Verde Mais - Hauer,7,7,7,0.44,0.44,16,16.0,6,,ok
5df6fa5db4ce9e0002fc8bfb,5cc764c5e3cc6f00387529f3,2019-12-23,SUPER SAÚDE NUTRI,Verde Mais - Hauer,0,11,0,0.0,0.69,16,45.0,8,,ok
5e0034d15ce63700025a713c,5cf2d2b730c6300002c4c1a0,2019-12-30,SUPER SAÚDE NUTRI,Verde Mais - Hauer,8,16,8,0.5,1.0,16,9.0,2,,ok
5e096f4e449f25000220dcbb,5dae5fa36b62590002a4cc91,2020-01-06,SUPER SAÚDE NUTRI,Verde Mais - Hauer,8,9,8,0.5,0.56,16,45.0,10,,ok
5e12a9d3c2695f0002219042,5d1eb0ac05834f0002a6f85f,2020-01-13,SUPER SAÚDE NUTRI,Verde Mais - Hauer,8,12,8,0.5,0.75,16,25.0,7,,ok
5e251ee1232f7200028d9be1,5d16487bb67b2200027fd0b0,2020-01-27,SUPER SAÚDE NUTRI,Verde Mais - Hauer,10,16,10,0.63,1.0,16,18.0,2,,ok
5e2e59579ce42a000225e70a,5d1eb0ac05834f0002a6f85f,2020-02-03,SUPER SAÚDE NUTRI,Verde Mais - Hauer,0,16,0,0.0,1.0,16,16.0,8,,ok
5e3793d8da11330002481f10,5d1fa4239445ca0002ad77d8,2020-02-10,SUPER SAÚDE NUTRI,Verde Mais - Hauer,8,13,12,0.5,0.81,16,20.0,5,,ok
5de090cb8aea3100024fd40d,5cc764c5e3cc6f00387529f3,2019-12-06,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,0,12,0,0.0,0.75,16,28.0,4,,ok
5e0eb5476a87df0002ea1e82,5cc764c5e3cc6f00387529f3,2020-01-10,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,0,14,0,0.0,0.88,16,19.0,4,,ok
5e17effc95c0200002262815,5cc764c5e3cc6f00387529f3,2020-01-17,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,0,15,0,0.0,0.94,16,19.0,4,,ok
5e212a65c211200002308ede,5d16487bb67b2200027fd0b0,2020-01-24,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,12,16,12,0.75,1.0,16,24.0,6,,ok
5e2a64f7cc6e360002ce6b6f,5d434aef4cb39500023ccdfc,2020-01-31,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,0,16,0,0.0,1.0,16,24.0,2,,ok
5e339f6f07c84d0002fcb190,5dae645a554d5300020e450d,2020-02-07,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,13,16,13,0.81,1.0,16,21.0,2,,ok
5ddb4ad89a3f3200029f118d,5cbf7e97c988da0039803bfb,2019-12-02,JAYFEX CONSULTING,Supermercados Curitiba - Barigui,2,2,2,0.17,0.17,12,25.0,8,,ok
5dedbfd2ab8c96000292d3af,5dd0aa510ab3830002cda43b,2019-12-16,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,9,9,10,0.75,0.75,12,15.0,4,,ok
5df1b44e0932eb00025eb33f,5de7a14fccd3f400029548b6,2019-12-19,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,9,9,9,0.75,0.75,12,39.0,4,,ok
5dfaeedb01b9640002c1733b,5d1fa4239445ca0002ad77d8,2019-12-26,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,9,9,9,0.75,0.75,12,10.0,4,,ok
5e1be45c222bf5000294cf8f,5d16487bb67b2200027fd0b0,2020-01-20,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,7,8,7,0.58,0.67,12,14.0,3,,ok
5e2913513f5cb300025f5867,5d1fa4239445ca0002ad77d8,2020-01-30,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,7,8,7,0.58,0.67,12,10.0,4,,ok
5ddb4ad8651fb00002ba4590,5db75e9d97eeab0002d66065,2019-12-02,JAYFEX CONSULTING,Super Boni - Bacacheri,9,10,9,0.75,0.83,12,148.0,4,,ok
5de879d0ed0ef5000216f549,5dc2cb035d818b000215db02,2019-12-12,JAYFEX CONSULTING,Super Boni - Bacacheri,0,4,0,0.0,0.33,12,26.0,4,,ok
5dedbfd4ab8c96000292d3b4,5dea5a8b495b9d000273b486,2019-12-16,JAYFEX CONSULTING,Super Boni - Bacacheri,9,12,9,0.75,1.0,12,25.0,4,,ok
5df1b44f0932eb00025eb344,5de83e76a54c920002ca88d2,2019-12-19,JAYFEX CONSULTING,Super Boni - Bacacheri,0,9,0,0.0,0.75,12,9.0,10,,ok
