activityId,date,workerId,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating,marker
5d391eb92e1c8f0002baf9fe,2019-08-01,5cc764c5e3cc6f00387529f3,LA VIOLETERA,Verde Mais - Xaxim,6,8,5,0.29,0.38,21,9.0,10,5.0,0
5d391eba2e1c8f0002bafa03,2019-08-01,5d0a20b2dd389d0002d365b1,LA VIOLETERA,Vicari - Fazenda Velha,5,0,5,0.29,0.0,17,16.0,10,5.0,0
5d391ebc179e1c000272e673,2019-08-01,5d0a20b2dd389d0002d365b1,JAYFEX CONSULTING,Super Boni - Campina,11,0,12,0.92,0.0,12,57.0,6,2.0,1
5d391ebf2e1c8f0002bafa42,2019-08-01,5d0a20b2dd389d0002d365b1,LA VIOLETERA,Super Boni - Quatro Barras,13,0,14,0.57,0.0,23,59.0,12,5.0,0
5d391ec02e1c8f0002bafa59,2019-08-01,5cc77920e3cc6f003875753a,BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,18,0,0,0.41,0.0,44,20.0,12,5.0,0
5d3a7038b7e6320002326157,2019-08-02,5d1a7dc30efc3e0002a1ef59,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,7,0,7,0.44,0.0,16,15.0,7,5.0,0
5d3a7039b7e632000232615c,2019-08-02,5cc77920e3cc6f003875753a,KORIN - CÂMARA FRIA E MERCEARIA,Super Muffato - Curitiba - Folloni,8,0,8,0.5,0.0,16,9.0,6,5.0,0
5d3a703ab7e6320002326170,2019-08-02,5d1574b198473f0002f113bc,LIZER DISTRIBUIDORA,Dalpar - Novo Mundo,0,4,0,0.0,0.36,11,14.0,6,5.0,0
5d3a703cb7e6320002326196,2019-08-02,5d0005620692f20002736579,SANTA HELENA,Max Atacadista - Campo Comprido,6,5,6,0.4,0.33,15,35.0,4,5.0,0
"5d3d133b422e7500023a3ea3,2019-08-04,5d2362c4a53c6400027f71ec,WEWISH,""Super Muffato - Londrina - Madre "",1,1,1,0.09,0.09,11,30.0,6,5.0,0"
5d3d133f422e7500023a3edf,2019-08-04,5d1e5677dca05f0002e3027d,PHILIP MORRIS INTERNATIONAL,Condor - Ponta Grossa - Uvaranas,3,0,3,0.14,0.0,21,29.0,20,2.0,1
5d3e64bc0cb09e0002657779,2019-08-05,5cc77920e3cc6f003875753a,JAYFEX CONSULTING,Super Boni - Alto Boqueirão,5,0,4,0.42,0.0,12,20.0,4,5.0,0
5d4050733f7e1800023404dd,2019-08-02,5cdb523eb3429500346a8bcc,KUKY DOCES,Casa China - Praça Rui Barbosa,1,0,1,0.05,0.0,19,75.0,18,4.0,0
5d4107bb3c85b600022c8c05,2019-08-07,5d0a20b2dd389d0002d365b1,SANTA HELENA,Max Atacadista - Campo Comprido,10,0,13,0.67,0.0,15,54.0,8,5.0,0
5d425941230eea0002b44528,2019-08-08,5cc764c5e3cc6f00387529f3,LA VIOLETERA,Super Boni - Santa Candida,17,18,17,0.74,0.78,23,11.0,8,4.0,0
5d43b8ca950e890002a3897e,2019-08-02,5d1d28efe8c7b20002cac0b0,SANTA HELENA,Max Atacadista - Londrina - Tiradentes,7,9,9,0.47,0.6,15,140.0,6,5.0,0
5d44fc3f950e890002a3cac5,2019-08-10,5d27ab7ae27d44000241df79,BIOZEN,Super Muffato - Maringá - João Paulino,0,0,1,0.0,0.0,4,34.0,2,5.0,0
5d465bd2950e890002a3e9f2,2019-08-04,5d2362c4a53c6400027f71ec,WEWISH,Super Muffato - Londrina - Quintino,0,2,0,0.0,0.18,11,33.0,6,5.0,0
5d479f3ac41f3a000295b672,2019-08-12,5cc764c5e3cc6f00387529f3,SUPER SAÚDE NUTRI,Verde Mais - Hauer,1,8,1,0.06,0.5,16,18.0,4,5.0,0
5d479f3cc41f3a000295b69a,2019-08-12,5cebc12eb9a0660034789ef4,SANTA HELENA,Max Atacadista - São José dos Pinhais - Afonso Pena,14,0,14,0.93,0.0,15,19.0,2,5.0,0
5d479f40c41f3a000295b6d6,2019-08-12,5cc764c5e3cc6f00387529f3,PHILIP MORRIS INTERNATIONAL,Condor - Curitiba - Boa Vista,7,14,8,0.33,0.67,21,15.0,12,5.0,0
5d48fed040ea960002e6f97b,2019-08-06,5d24cb58d988fe0002e5aa8e,BIOZEN,Super Muffato - Maringá - João Paulino,0,2,0,0.0,0.5,4,30.0,12,5.0,0
5d4a423b13790f00027e81b5,2019-08-14,5cc77920e3cc6f003875753a,KORIN - CÂMARA FRIA E MERCEARIA,Super Muffato - Curitiba - Folloni,0,0,12,0.0,0.0,16,15.0,2,2.0,1
5d4b17689c3edf00025424d3,2019-08-08,5d24cb58d988fe0002e5aa8e,BRAVO AÇAÍ,Super Muffato - Maringá - Cerro Azul,1,1,0,0.14,0.14,7,59.0,13,3.0,0
5d4b17869c3edf00025424d8,2019-08-08,5d2f7b7370eaf40002ed41f9,BRAVO AÇAÍ,Super Muffato - Curitiba - Tarumã,0,0,0,0.0,0.0,7,15.0,4,5.0,0
5d4b93c24b51f30002b55f9e,2019-08-15,5d154d56b875c1000239575f,JAYFEX CONSULTING,Supermercados Curitiba - Caiuá,2,0,2,0.17,0.0,12,13.0,20,5.0,0
5d4b93c2e9ae6c000293200e,2019-08-15,5ce94f8bb9a0660034757fae,JAYFEX CONSULTING,Supermercados Curitiba - Barigui,6,0,5,0.5,0.0,12,13.0,6,5.0,0
5d4b93c34b51f30002b55fa3,2019-08-15,5d1fa4239445ca0002ad77d8,JAYFEX CONSULTING,Super Boni - Campina,10,11,10,0.83,0.92,12,19.0,6,5.0,0
5d4b93c5e9ae6c000293202c,2019-08-15,5d1fa4239445ca0002ad77d8,LA VIOLETERA,Super Boni - Campina,0,0,11,0.0,0.0,23,29.0,4,2.0,1
5d4b93c5e9ae6c0002932036,2019-08-15,5d1fa4239445ca0002ad77d8,LA VIOLETERA,Super Boni - Quatro Barras,0,0,12,0.0,0.0,23,56.0,6,4.0,0
5d4b93c8e9ae6c000293205d,2019-08-15,5cebc12eb9a0660034789ef4,KORIN - CÂMARA FRIA E MERCEARIA,Italo - Curitiba,0,0,13,0.0,0.0,13,12.0,4,1.0,1
5d4c82b015081c000247d7b4,2019-08-09,5ce7203f992aaf0035e12cdb,KUKY DOCES,Casa China - Praça Rui Barbosa,10,10,10,0.71,0.71,14,242.0,6,5.0,0
5d4e36b84a67a7000226157f,2019-08-17,5d0272b3a3b8dc0002c2e147,WEWISH,,11,11,11,1.0,1.0,11,11.0,2,5.0,0
5d4e36ba4a67a70002261598,2019-08-17,5d387f53d31d0e0002015b55,WEWISH,Super Muffato - Maringá - João Paulino,0,2,0,0.0,0.18,11,64.0,2,5.0,0
5d4e36bb4a67a700022615a7,2019-08-17,5d387f53d31d0e0002015b55,WEWISH,Super Muffato - Maringá - Catuaí,0,4,0,0.0,0.36,11,12.0,6,5.0,0
