activityId;workerId;date;companyName;establishmentName;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5d03114214f82e0002503fe8);5cf1f153cf0c4d0002d31fd2;21/06/2019;BLUE ALIMENTOS EIRELI;Condor - Curitiba - Pinheirinho;0;0;8;0.0;0.0;44;124.0;20;2;1
ObjectId(5d674344195e9b0002a22d75);5d0272b3a3b8dc0002c2e147;05/09/2019;LA VIOLETERA;Vicari - Fazenda Velha;1;17;1;0.06;1.0;17;11.0;12;2;1
ObjectId(5d674345195e9b0002a22d82);5d0272b3a3b8dc0002c2e147;05/09/2019;LA VIOLETERA;Vicari - Iguaçu;4;17;4;0.24;1.0;17;15.0;16;2;1
ObjectId(5e057ac9d4df8f00020e076d);5d7a4828d1f0070002500813;03/01/2020;SUPER SAÚDE NUTRI;Verde Mais - Xaxim;9;16;9;0.56;1.0;16;13.0;6;2;1
ObjectId(5d2befbaf5c5980002cc2440);5d094e7643156500028ee94e;22/07/2019;JAYFEX CONSULTING;Distribuidora Leonel - CIC;0;0;12;0.0;0.0;12;5.0;2;1;1
ObjectId(5dd2069974a47b0002be8698);5d1b4c5886c7bb0002d46563;20/11/2019;JAYFEX CONSULTING;Distribuidora Leonel - CIC;0;0;0;0.0;0.0;12;4.0;2;2;1
ObjectId(5d22b53d41b24b00025a1e25);5cf7ecd0530e8a000254d579;15/07/2019;JAYFEX CONSULTING;Supermercados Curitiba - Barigui;3;0;3;0.25;0.0;12;11.0;6;2;1
ObjectId(5d2fe43f4276af0002a6768e);5ce94f8bb9a0660034757fae;25/07/2019;JAYFEX CONSULTING;Supermercados Curitiba - Barigui;3;0;3;0.25;0.0;12;12.0;2;2;1
ObjectId(5d8838bee05ef400025e16ac);5d7ad8c943ae200002cbc807;30/09/2019;JAYFEX CONSULTING;Supermercados Curitiba - Barigui;1;7;2;0.08;0.58;12;12.0;10;2;1
ObjectId(5d26a9c4d61b6d0002440f25);5cf7ecd0530e8a000254d579;18/07/2019;JAYFEX CONSULTING;Supermercado Sierra - Campo Comprido;7;5;10;0.58;0.42;12;10.0;6;2;1
ObjectId(5e096f6f7b7e7a0002938cef);5cbf7e97c988da0039803bfb;06/01/2020;JAYFEX CONSULTING;Supermercado Sierra - Campo Comprido;8;10;8;0.67;0.83;12;7.0;4;2;1
ObjectId(5d77234fb21ab000026c387a);5cebc12eb9a0660034789ef4;10/09/2019;JAYFEX CONSULTING;Super Boni - Quatro Barras;10;10;10;0.83;0.83;12;11.0;2;2;1
ObjectId(5de5d6da5280970002068464);5dd8357ae4d96d00024dac8b;10/12/2019;JAYFEX CONSULTING;Super Boni - Quatro Barras;11;12;11;0.92;1.0;12;21.0;4;1;1
