activityId,workerId,date,companyName,establishmentName,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateOfRuptures,rateOutStorage,mixSize,duration,numberOfPictures,averageRating
5e2e59579ce42a000225e70a,5d1eb0ac05834f0002a6f85f,2020-02-03,SUPER SAÚDE NUTRI,Verde Mais - Hauer,0,16,0,0.0,1.0,16,16.0,8,
5e3793d8da11330002481f10,5d1fa4239445ca0002ad77d8,2020-02-10,SUPER SAÚDE NUTRI,Verde Mais - Hauer,8,13,12,0.5,0.81,16,20.0,5,
5e339f6f07c84d0002fcb190,5dae645a554d5300020e450d,2020-02-07,SUPER SAÚDE NUTRI,Verde Mais - Xaxim,13,16,13,0.81,1.0,16,21.0,2,
5e2bb65ef6bb6b00024c8316,5d16487bb67b2200027fd0b0,2020-02-01,DR. SCHAR,,26,35,26,0.74,1.0,35,24.0,2,
5e34f0e0ad32bd0002863927,5d1fa4239445ca0002ad77d8,2020-02-08,DR. SCHAR,,26,32,27,0.74,0.91,35,30.0,2,
5e2bb64cdd45c40002ac8561,5d0983ec6045c10002f8d5f6,2020-02-01,VINHOS TERRAUSTRAL,Condor - Curitiba - Nilo Peçanha,5,23,5,0.22,1.0,23,4.0,4,
5e2d07d4981a740002f0d851,5dbb60edcaaa3b000206a06e,2020-02-02,VINHOS TERRAUSTRAL,Condor - Curitiba - Nilo Peçanha,0,16,0,0.0,0.7,23,65.0,6,
5e2bb665f631480002717b35,5d0983ec6045c10002f8d5f6,2020-02-01,VINHOS TERRAUSTRAL,Condor - Curitiba - Champagnat,8,23,8,0.35,1.0,23,19.0,4,
5e2faacd44409d0002dc50fb,5dd2a665849da70002026762,2020-02-04,VINHOS TERRAUSTRAL,Condor - Curitiba - Champagnat,6,21,6,0.26,0.91,23,96.0,12,
5e34f0df9861d6000221d368,5e1de308d35962000264d677,2020-02-08,VINHOS TERRAUSTRAL,Condor - Curitiba - Champagnat,19,21,19,0.83,0.91,23,22.0,10,
5e38e5611ad7d0000293997b,5e13bb63825c400002e87ee7,2020-02-11,VINHOS TERRAUSTRAL,Condor - Curitiba - Champagnat,11,22,11,0.48,0.96,23,92.0,8,
5e339f54ad32bd0002862d27,5df929b0739f8a00029be468,2020-02-07,VINHOS TERRAUSTRAL,Condor - Ponta Grossa - Oficinas,6,6,7,0.26,0.26,23,20.0,8,
5e3793d826cb0e000297fb16,5e076de374d8df0002d03163,2020-02-10,VINHOS TERRAUSTRAL,Condor - Ponta Grossa - Oficinas,9,19,11,0.39,0.83,23,37.0,12,
5e2e59674eeee20002986117,5de2999e585cc6000210ad6c,2020-02-03,VINHOS TERRAUSTRAL,Condor - Ponta Grossa - Nova Rússia,6,19,6,0.26,0.83,23,43.0,18,
5e339f5dad32bd0002862d2c,5e076de374d8df0002d03163,2020-02-07,VINHOS TERRAUSTRAL,Condor - Ponta Grossa - Nova Rússia,8,19,8,0.35,0.83,23,32.0,17,
