activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5d161a14eee0a20002908921),AMBEV RS,Posto - Rua Eduardo Prado 415,5ceaadd4b9a0660034775e32,2019-07-02,3,0,6,0.21428571428571427,0.0,14,3,12.0,ok
ObjectId(5d161a15eee0a20002908925),AMBEV RS,Posto - Rua Eduardo Prado 415,5ceaadd4b9a0660034775e32,2019-07-05,7,0,7,0.5,0.0,14,3,8.0,ok
ObjectId(5d161b6428fd75000298d562),AMBEV RS,Posto - Av Getulio Vargas 1066,5ceadb5ab9a066003477a618,2019-07-02,0,0,1,0.0,0.0,14,4,2.0,ok
ObjectId(5d161b6428fd75000298d566),AMBEV RS,Posto - Av Getulio Vargas 1066,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,4,3.0,ok
ObjectId(5d161ba828fd75000298d61b),AMBEV RS,Posto - Av Baltazar de Oliveira Garcia 1000,5ceadb5ab9a066003477a618,2019-07-02,0,0,2,0.0,0.0,14,3,4.0,ok
ObjectId(5d161ba828fd75000298d622),AMBEV RS,Posto - Av Baltazar de Oliveira Garcia 1000,5ceadb5ab9a066003477a618,2019-07-05,0,0,1,0.0,0.0,14,2,2.0,attention
ObjectId(5d161c3d28fd75000298d629),AMBEV RS,Posto - Av Otto Neimeyer 1043,5ceadb5ab9a066003477a618,2019-07-02,0,0,4,0.0,0.0,14,4,4.0,ok
ObjectId(5d161c3f28fd75000298d6bf),AMBEV RS,Posto - Av Otto Neimeyer 1043,5ce62329992aaf0035dfd1a9,2019-07-05,5,7,4,0.35714285714285715,0.5,14,3,10.0,ok
ObjectId(5d161c77f627640002567bcb),AMBEV RS,Posto - R Ouro Preto 980,5ceadb5ab9a066003477a618,2019-07-02,0,0,0,0.0,0.0,14,3,3.0,ok
ObjectId(5d161c78f627640002567bcf),AMBEV RS,Posto - R Ouro Preto 980,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,4,2.0,ok
ObjectId(5d1115ee0c543e00026507cd),AMBEV RS,Posto - Protásio Alves 8699,5ceaeaf9b9a066003477c7bc,2019-06-28,10,13,11,0.7142857142857143,0.9285714285714286,14,4,7.0,ok
ObjectId(5d161ccbf627640002567bd3),AMBEV RS,Posto - Protásio Alves 8699,5ceadb5ab9a066003477a618,2019-07-02,0,0,9,0.0,0.0,14,4,3.0,ok
ObjectId(5d161cccf627640002567bd7),AMBEV RS,Posto - Protásio Alves 8699,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,4,2.0,ok
ObjectId(5d161d20eee0a20002909921),AMBEV RS,Posto - Av Assis Brasil 2704,5ceadb5ab9a066003477a618,2019-07-02,0,0,0,0.0,0.0,14,3,3.0,ok
ObjectId(5d161d20eee0a20002909925),AMBEV RS,Posto - Av Assis Brasil 2704,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,3,2.0,ok
ObjectId(5d161d68f627640002567f2d),AMBEV RS,Posto - Av. Assis Brasil 3248,5ceadb5ab9a066003477a618,2019-07-02,0,0,0,0.0,0.0,14,5,2.0,ok
ObjectId(5d161d68f627640002567f31),AMBEV RS,Posto - Av. Assis Brasil 3248,5ce62329992aaf0035dfd1a9,2019-07-05,7,7,4,0.5,0.5,14,4,3.0,ok
ObjectId(5d11169a0c543e0002650828),AMBEV RS,Posto - Av Plinio Brasil Milano 317,5ceaeaf9b9a066003477c7bc,2019-06-28,3,7,6,0.21428571428571427,0.5,14,4,51.0,ok
ObjectId(5d161d8aeee0a20002909bf7),AMBEV RS,Posto - Av Plinio Brasil Milano 317,5ceadb5ab9a066003477a618,2019-07-02,0,0,1,0.0,0.0,14,3,1.0,ok
ObjectId(5d161d8beee0a20002909bfb),AMBEV RS,Posto - Av Plinio Brasil Milano 317,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,2,1.0,attention
ObjectId(5d161daceee0a20002909c01),AMBEV RS,Posto - Av São Pedro 55,5ceadb5ab9a066003477a618,2019-07-02,0,0,3,0.0,0.0,14,3,5.0,ok
ObjectId(5d161db2eee0a20002909c1f),AMBEV RS,Posto - Av São Pedro 55,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,4,3.0,ok
ObjectId(5d161de4eee0a20002909c27),AMBEV RS,Posto - Av da Cavalhada 5005,5ceadb5ab9a066003477a618,2019-07-02,0,0,0,0.0,0.0,14,4,2.0,ok
ObjectId(5d161deceee0a20002909c2b),AMBEV RS,Posto - Av da Cavalhada 5005,5ce62329992aaf0035dfd1a9,2019-07-05,4,5,4,0.2857142857142857,0.35714285714285715,14,3,3.0,ok
ObjectId(5d161e30eee0a20002909f11),AMBEV RS,Posto - Av Professor Oscar Pereira 2527,5ce62329992aaf0035dfd1a9,2019-07-02,4,5,5,0.2857142857142857,0.35714285714285715,14,3,6.0,ok
ObjectId(5d161e31eee0a20002909f15),AMBEV RS,Posto - Av Professor Oscar Pereira 2527,5ce62329992aaf0035dfd1a9,2019-07-05,5,6,3,0.35714285714285715,0.42857142857142855,14,1,4.0,attention
ObjectId(5d570c0f1b37ef00023cc1e3),AMBEV RS,Posto - Av Professor Oscar Pereira 2527,5ceaadd4b9a0660034775e32,2019-08-19,8,0,0,0.5714285714285714,0.0,14,1,,attention
ObjectId(5d161e5ceee0a20002909f1f),AMBEV RS,Posto - Av Borges de Medeiros 2055,5ce62329992aaf0035dfd1a9,2019-07-02,9,9,4,0.6428571428571429,0.6428571428571429,14,5,2.0,ok
ObjectId(5d161e66eee0a20002909f27),AMBEV RS,Posto - Av Borges de Medeiros 2055,5ceadb5ab9a066003477a618,2019-07-05,0,0,0,0.0,0.0,14,4,2.0,ok
ObjectId(5d1117970c543e0002650866),AMBEV RS,Posto - Av Cairu 1167,5ceaeaf9b9a066003477c7bc,2019-06-26,5,8,4,0.35714285714285715,0.5714285714285714,14,5,12.0,ok
ObjectId(5d1117980c543e000265086a),AMBEV RS,Posto - Av Cairu 1167,5ceaeaf9b9a066003477c7bc,2019-06-28,3,4,3,0.21428571428571427,0.2857142857142857,14,5,14.0,ok
ObjectId(5d161ec1eee0a20002909f31),AMBEV RS,Posto - Av Cairu 1167,5ce62329992aaf0035dfd1a9,2019-07-02,3,3,0,0.21428571428571427,0.21428571428571427,14,3,10.0,ok
ObjectId(5d161ec2eee0a20002909f35),AMBEV RS,Posto - Av Cairu 1167,5ce62329992aaf0035dfd1a9,2019-07-05,1,2,0,0.071428571428571425,0.14285714285714285,14,2,9.0,attention
ObjectId(5d161ef3eee0a20002909f39),AMBEV RS,Posto - Av Ipiranga 999,5ce62329992aaf0035dfd1a9,2019-07-02,6,6,4,0.42857142857142855,0.42857142857142855,14,4,3.0,ok
ObjectId(5d161ef3eee0a20002909f3d),AMBEV RS,Posto - Av Ipiranga 999,5ce62329992aaf0035dfd1a9,2019-07-05,7,8,4,0.5,0.5714285714285714,14,2,2.0,attention
ObjectId(5d161f16f627640002568e85),AMBEV RS,Posto - Av Farrapos 2099,5ce62329992aaf0035dfd1a9,2019-07-02,2,4,0,0.14285714285714285,0.2857142857142857,14,4,5.0,ok
ObjectId(5d161f16f627640002568e89),AMBEV RS,Posto - Av Farrapos 2099,5ce62329992aaf0035dfd1a9,2019-07-05,4,3,2,0.2857142857142857,0.21428571428571427,14,4,4.0,ok
ObjectId(5d161f38f62764000256916b),AMBEV RS,Posto - Av Ipiranga 8129,5ceb2e7bb9a0660034783936,2019-07-02,0,0,0,0.0,0.0,14,3,3.0,ok
ObjectId(5d161f39f627640002569171),AMBEV RS,Posto - Av Ipiranga 8129,5ceb2e7bb9a0660034783936,2019-07-05,0,0,1,0.0,0.0,14,3,4.0,ok
ObjectId(5d161f80f627640002569175),AMBEV RS,Posto - Plínio Brasil Milano 1945,5ce62329992aaf0035dfd1a9,2019-07-02,6,8,3,0.42857142857142855,0.5714285714285714,14,3,12.0,ok
ObjectId(5d161f80f62764000256917c),AMBEV RS,Posto - Plínio Brasil Milano 1945,5ceb2e7bb9a0660034783936,2019-07-05,0,0,0,0.0,0.0,14,4,3.0,ok
ObjectId(5d161fa3f627640002569182),AMBEV RS,Posto - Av Wenceslau Escobar 1488,5ce62329992aaf0035dfd1a9,2019-07-02,6,6,4,0.42857142857142855,0.42857142857142855,14,3,3.0,ok
ObjectId(5d161fa4f627640002569186),AMBEV RS,Posto - Av Wenceslau Escobar 1488,5ceb2e7bb9a0660034783936,2019-07-05,0,0,0,0.0,0.0,14,3,2.0,ok
ObjectId(5d161fc8eee0a2000290a83d),AMBEV RS,Posto - R Souza Reis 443,5ce62329992aaf0035dfd1a9,2019-07-02,9,11,4,0.6428571428571429,0.7857142857142857,14,4,3.0,ok
ObjectId(5d161fc8eee0a2000290a841),AMBEV RS,Posto - R Souza Reis 443,5ceb2e7bb9a0660034783936,2019-07-05,0,0,0,0.0,0.0,14,4,2.0,ok
ObjectId(5d161feceee0a2000290a847),AMBEV RS,Posto - Avenida Prof Cristiano Fischer 1950,5ceb2e7bb9a0660034783936,2019-07-02,0,0,0,0.0,0.0,14,3,4.0,ok
ObjectId(5d161feceee0a2000290a84b),AMBEV RS,Posto - Avenida Prof Cristiano Fischer 1950,5ceb2e7bb9a0660034783936,2019-07-05,0,0,0,0.0,0.0,14,3,1.0,ok
ObjectId(5cf7e04bf32b760002906354),AMBEV RS,"Posto - Av Edgar Pires de Castro, 4100",5ceb150ab9a0660034780f8e,2019-06-10,6,6,6,0.42857142857142855,0.42857142857142855,14,5,21.0,ok
ObjectId(5d570bf41c981e0002df8a68),AMBEV RS,"Posto - Av Edgar Pires de Castro, 3020",5ceaadd4b9a0660034775e32,2019-08-19,5,0,0,0.35714285714285715,0.0,14,4,,ok
ObjectId(5d03fb742cd53f70656e9209),AMBEV RS,Posto - Av Assis Brasil 2704,5ce9811db9a06600347609a4,2019-06-19,0,0,8,,,,5,17.0,ok
ObjectId(5d03fb752cd53f70656e920b),AMBEV RS,Posto - Av. Assis Brasil 3248,5ce9811db9a06600347609a4,2019-06-19,0,0,6,,,,4,5.0,ok
ObjectId(5d03fb762cd53f70656e920d),AMBEV RS,Posto - Av Plinio Brasil Milano 317,5ce9811db9a06600347609a4,2019-06-19,0,0,10,,,,5,8.0,ok
ObjectId(5d03fb7d2cd53f70656e921d),AMBEV RS,Posto - Av Ipiranga 8129,5ce9811db9a06600347609a4,2019-06-19,0,0,6,,,,2,5.0,attention
ObjectId(5d03fb7e2cd53f70656e921f),AMBEV RS,Posto - Plínio Brasil Milano 1945,5ce9811db9a06600347609a4,2019-06-19,0,0,5,,,,3,5.0,ok
ObjectId(5d03fb812cd53f70656e9223),AMBEV RS,Posto - R Souza Reis 443,5ce9811db9a06600347609a4,2019-06-19,0,0,7,,,,5,4.0,ok
ObjectId(5d03fb822cd53f70656e9225),AMBEV RS,Posto - Avenida Prof Cristiano Fischer 1950,5ce9811db9a06600347609a4,2019-06-19,0,0,7,,,,4,,ok
ObjectId(5d03fb852cd53f70656e922b),AMBEV RS,Posto - Av Benjamin Constant 1253,5ce9811db9a06600347609a4,2019-06-19,0,0,9,,,,5,4.0,ok
ObjectId(5b42a580a3f4ae95ab2f6099),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b4910a34505c5a1931a6590,2018-07-16,0,8,0,,,,5,137.0,ok
ObjectId(5b4572b0443dccf8184cdaa0),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b4cffff505d1e6c8b7dda12,2018-07-18,0,9,0,,,,5,124.0,ok
ObjectId(5b6cd5800de4fb68347cb931),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b6ea60859d1aea622445bcd,2018-08-17,9,15,9,,,,5,64.0,ok
ObjectId(5b736d0059d1aea6224475e8),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b6ea60859d1aea622445bcd,2018-08-22,14,21,15,,,,5,65.0,ok
ObjectId(5b88af30bcc2b81c4bb1bb80),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b6ea60859d1aea622445bcd,2018-09-07,12,19,18,,,,5,135.0,ok
ObjectId(5baacc0043dbbfa11f9bdc2b),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b6ea60859d1aea622445bcd,2018-10-03,15,21,18,,,,5,81.0,ok
ObjectId(5bc00e30c56fbd27b93a5d29),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5b4910a34505c5a1931a6590,2018-10-19,10,14,12,,,,5,49.0,ok
ObjectId(5c37f8a072a5cc6fc08ca122),VITAO ALIMENTOS,Condor - Curitiba - Pinheirinho,5c02fb29ed1f20aaddf4701b,2019-01-18,0,0,0,,,,5,,ok
ObjectId(5d03114214f82e0002503fe8),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cf1f153cf0c4d0002d31fd2,2019-06-21,0,0,8,0.0,0.0,44,2,124.0,attention
ObjectId(5d0470cd30630f0002ac5a44),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5ce02c49338f7e0035385da8,2019-06-15,0,0,7,0.0,0.0,44,3,94.0,ok
ObjectId(5d1040423245750002ecd088),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cf7ecd0530e8a000254d579,2019-07-01,7,0,7,0.15909090909090909,0.0,44,5,,ok
ObjectId(5d1586402fb2bb0002202884),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cf7ecd0530e8a000254d579,2019-07-05,7,0,7,0.15909090909090909,0.0,44,4,65.0,ok
ObjectId(5d164bf387a0ef0002df6ecd),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Nilo Peçanha,5cbf7e97c988da0039803bfb,2019-07-05,11,0,18,0.25,0.0,44,5,131.0,ok
ObjectId(5d1c1dbe4ce7fa000217deac),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cbf7e97c988da0039803bfb,2019-07-10,13,18,17,0.29545454545454547,0.40909090909090912,44,5,101.0,ok
ObjectId(5d2558406cec8b0002eb6d41),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cbf7e97c988da0039803bfb,2019-07-17,14,20,18,0.31818181818181818,0.45454545454545453,44,5,45.0,ok
ObjectId(5d27fb3fecdbe10002a3f8c0),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cbf7e97c988da0039803bfb,2019-07-19,15,26,16,0.34090909090909088,0.59090909090909094,44,5,98.0,ok
ObjectId(5d143542f777810002d5d7c4),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5cfa0e55364f9a0002ed6573,2019-07-04,27,31,32,0.61363636363636365,0.70454545454545459,44,5,167.0,ok
ObjectId(5d391ec02e1c8f0002bafa5e),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d03e74625d44d0002ea15aa,2019-08-01,3,1,18,0.068181818181818177,0.022727272727272728,44,5,75.0,ok
ObjectId(5d425942230eea0002b4453a),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5ce94f8bb9a0660034757fae,2019-08-08,16,14,16,0.36363636363636365,0.31818181818181818,44,5,55.0,ok
ObjectId(5d54ce4769ef65000285d975),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d0005620692f20002736579,2019-08-22,0,0,14,0.0,0.0,44,2,40.0,attention
ObjectId(5d562dc9ab719c0002efd023),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5ce94f8bb9a0660034757fae,2019-08-16,8,0,3,0.18181818181818182,0.0,44,5,25.0,ok
ObjectId(5d67434d195e9b0002a22dcd),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d1a41a00c2bf400022ff486,2019-09-05,21,23,24,0.47727272727272729,0.52272727272727271,44,5,87.0,ok
ObjectId(5d82f2d65fc55900023e79ea),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d1a41a00c2bf400022ff486,2019-09-26,22,25,22,0.5,0.56818181818181823,44,5,21.0,ok
ObjectId(5d8c2d480ee8a00002cd6eea),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5cf2d2b730c6300002c4c1a0,2019-10-03,25,40,25,0.56818181818181823,0.90909090909090906,44,5,180.0,ok
ObjectId(5d9567d14bc7d80002b8434e),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d90066411c9fd0002e7e431,2019-10-10,18,37,18,0.40909090909090912,0.84090909090909094,44,5,223.0,ok
ObjectId(5d9ea24729ac410002856f27),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d2d0427d2c78300022ea016,2019-10-17,16,0,0,0.36363636363636365,0.0,44,4,100.0,ok
ObjectId(5d143535f777810002d5d7c0),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5cfa0e55364f9a0002ed6573,2019-07-04,28,35,29,0.63636363636363635,0.79545454545454541,44,5,80.0,ok
ObjectId(5d2fe4444276af0002a676cf),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5d1a7909ceb2f00002e19ce2,2019-07-25,29,1,29,0.65909090909090906,0.022727272727272728,44,5,65.0,ok
ObjectId(5d391ec02e1c8f0002bafa59),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5cc77920e3cc6f003875753a,2019-08-01,18,0,0,0.40909090909090912,0.0,44,5,20.0,ok
ObjectId(5d4cf34f62cecc00023719e5),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5cc77920e3cc6f003875753a,2019-08-09,2,0,16,0.045454545454545456,0.0,44,5,17.0,ok
ObjectId(5d54ce4669ef65000285d96d),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5d0005620692f20002736579,2019-08-22,6,0,17,0.13636363636363635,0.0,44,3,6.0,ok
ObjectId(5d562dc9ab719c0002efd01e),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5ce94f8bb9a0660034757fae,2019-08-16,1,0,9,0.022727272727272728,0.0,44,5,12.0,ok
ObjectId(5d67434d195e9b0002a22dc8),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5d1a41a00c2bf400022ff486,2019-09-05,30,40,30,0.68181818181818177,0.90909090909090906,44,5,47.0,ok
ObjectId(5d82f2d56f13ae00024ee8c4),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5d1a41a00c2bf400022ff486,2019-09-26,31,31,30,0.70454545454545459,0.70454545454545459,44,5,24.0,ok
ObjectId(5d8c2d480ee8a00002cd6ee5),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5cf2d2b730c6300002c4c1a0,2019-10-03,31,38,31,0.70454545454545459,0.86363636363636365,44,5,76.0,ok
ObjectId(5d9ea24729ac410002856f22),BLUE ALIMENTOS EIRELI,Stresser - Itaperuçu,5d2d0427d2c78300022ea016,2019-10-17,29,32,0,0.65909090909090906,0.72727272727272729,44,5,51.0,ok
ObjectId(5b42a580a3f4ae95ab2f609a),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b4910a34505c5a1931a6590,2018-07-16,0,24,0,,,,5,235.0,ok
ObjectId(5b736d0059d1aea6224475e9),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b6ea60859d1aea622445bcd,2018-08-22,5,5,8,,,,5,84.0,ok
ObjectId(5baacc0043dbbfa11f9bdc2c),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b6ea60859d1aea622445bcd,2018-10-03,3,6,5,,,,4,144.0,ok
ObjectId(5bc00e30c56fbd27b93a5d2a),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b4910a34505c5a1931a6590,2018-10-19,7,12,9,,,,5,74.0,ok
ObjectId(5c735a30ea210000107f8127),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b4bc73d4505c5a1931a7f5f,2019-03-04,11,19,18,,,,5,320.0,ok
ObjectId(5c7c6a80d9b78900101c3849),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b4bc73d4505c5a1931a7f5f,2019-03-11,0,0,10,,,,4,134.0,ok
ObjectId(5c802a9aa7e893337f3af72d),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5b4bc73d4505c5a1931a7f5f,2019-03-13,7,12,9,,,,5,112.0,ok
ObjectId(5cbfa7007255810038487f3e),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cb87667c988da00397e4b08,2019-05-01,8,9,10,,,,5,68.0,ok
ObjectId(5cc8e180b811f2003422533a),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cb87667c988da00397e4b08,2019-05-08,8,10,13,,,,5,98.0,ok
ObjectId(5cd4bf00b34295003466d184),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cc887acbc4191003818ab88,2019-05-17,9,11,9,,,,5,42.0,ok
ObjectId(5cdb5680e5e5b10034aaae61),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cb87667c988da00397e4b08,2019-05-22,12,16,13,,,,5,100.0,ok
ObjectId(5cd36d80b34295003465f9a5),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5cc887acbc4191003818ab88,2019-05-17,25,28,25,,,,5,27.0,ok
ObjectId(5cf733cb5c867c00023f7e81),BLUE ALIMENTOS EIRELI,Condor - Curitiba - Pinheirinho,5cb4c40b8b6d0300388f42bc,2019-06-12,0,0,0,0.0,0.0,44,5,,ok
ObjectId(5d1d6f47fe40a5000230f040),BLUE ALIMENTOS EIRELI,Stresser - Rio Branco do Sul,5d03e74625d44d0002ea15aa,2019-07-11,0,0,0,0.0,0.0,44,4,,ok
ObjectId(5cf885933e36ee0002dd8f92),DON REPRESENTAÇÕES,Super Boni - Pinhais,5cea8d6eb9a0660034771ae0,2019-06-13,0,2,0,0.0,0.0625,32,5,,ok
ObjectId(5cf885973e36ee0002dd8f96),DON REPRESENTAÇÕES,Super Boni - Quatro Barras,5ce881eeb9a06600347471c3,2019-06-13,0,0,20,0.0,0.0,50,4,105.0,ok
ObjectId(5d031f5ca206150002507717),DON REPRESENTAÇÕES,Supermercado Michel - Campo Comprido,5ce99ad9b9a06600347649f9,2019-06-14,0,0,7,0.0,0.0,45,4,201.0,ok
ObjectId(5d3fb63ace752500029d2f2b),DON REPRESENTAÇÕES,Supermercado Michel - Campo Comprido,5cbf7e97c988da0039803bfb,2019-08-06,2,2,5,0.044444444444444446,0.044444444444444446,45,5,109.0,ok
ObjectId(5d48f0ba95ff240002690ff4),DON REPRESENTAÇÕES,Supermercado Michel - Campo Comprido,5d1652d3e141580002708d43,2019-08-13,4,23,7,0.088888888888888892,0.51111111111111107,45,5,142.0,ok
ObjectId(5d522b3ec4e33a0002b67970),DON REPRESENTAÇÕES,Supermercado Michel - Campo Comprido,5d0272b3a3b8dc0002c2e147,2019-08-20,2,7,2,0.044444444444444446,0.15555555555555556,45,5,61.0,ok
ObjectId(5d5b65b90ae7b80002f3516f),DON REPRESENTAÇÕES,Supermercado Michel - Campo Comprido,5cbf7e97c988da0039803bfb,2019-08-27,4,39,6,0.088888888888888892,0.8666666666666667,45,5,74.0,ok
ObjectId(5d64a03b98c4e10002c097d4),DON REPRESENTAÇÕES,Supermercado Michel - Campo Comprido,5ce94270b9a066003475629f,2019-09-03,5,5,5,0.1111111111111111,0.1111111111111111,45,4,43.0,ok
ObjectId(5cf9d6c6c819ea0002baf878),DON REPRESENTAÇÕES,Rio Verde - Guarani,5cea8d6eb9a0660034771ae0,2019-06-14,0,1,0,0.0,0.045454545454545456,22,4,7.0,ok
ObjectId(5d0470d030630f0002ac5a48),DON REPRESENTAÇÕES,Rio Verde - Maracanã,5ce02c49338f7e0035385da8,2019-06-15,0,0,13,0.0,0.0,34,4,61.0,ok
ObjectId(5cf95275cbefae00021f2615),DON REPRESENTAÇÕES,Rio Verde - Tarumã,5cc1df2cc988da003981bad0,2019-06-07,0,24,0,0.0,0.43636363636363634,55,5,43.0,ok
ObjectId(5cf9d6efc819ea0002baf894),DON REPRESENTAÇÕES,Rio Verde - Tarumã,5cd198b7b3429500346519b1,2019-06-14,16,25,17,0.29090909090909089,0.45454545454545453,55,3,71.0,ok
