activityId;companyName;establishmentName;workerId;date;numberOfRuptures;numberProductsOutStorage;numberProductsOutShelf;rateRuptures;rateOutStorage;mixSize;duration;numberOfPictures;averageRating;marker
ObjectId(5cf95285cbefae00021f2645);ALFAJORES FLORIPPA;Condor -  Araucária - Bairro Costeira;5cb4c40b8b6d0300388f42bc;07/06/2019;0;0;0;0.0;0.0;2;0;2;1;1
ObjectId(5d07e95e257c4e0002cc0fa9);KUKY DOCES;Casa China - Praça Rui Barbosa;5ce824e2992aaf0035e283dc;21/06/2019;0;0;0;0.0;0.0;19;203.0;6;2;1
ObjectId(5d1215bc4a4dff0002799c00);LIZER DISTRIBUIDORA;Druziki Supermercados - Filial;5cc79debe3cc6f0038758ae8;27/06/2019;0;0;0;0.0;0.0;25;0;6;2;1
ObjectId(5d13739381672d0002b3fe25);COCA-COLA FEMSA;Triunfo Supermercados - Curitiba - Centro;5cf7ecd0530e8a000254d579;28/06/2019;0;0;0;0.0;0.0;115;0;18;2;1
ObjectId(5d161d8beee0a20002909bfb);AMBEV RS;Posto - Av Plinio Brasil Milano 317;5ceadb5ab9a066003477a618;05/07/2019;0;0;0;0.0;0.0;14;1.0;4;2;1
ObjectId(5d161ec2eee0a20002909f35);AMBEV RS;Posto - Av Cairu 1167;5ce62329992aaf0035dfd1a9;05/07/2019;1;2;0;0.071428571428571425;0.14285714285714285;14;9.0;6;2;1
ObjectId(5d16e5dc6fcfd20002afade6);PHILIP MORRIS INTERNATIONAL;Rio Verde - Maracanã;5cea8d6eb9a0660034771ae0;29/06/2019;0;4;0;0.0;0.19047619047619047;21;26.0;4;1;1
ObjectId(5d1ada5139fac10002a09f7f);PHILIP MORRIS INTERNATIONAL;Condor - Pinhais - Av. Iraí;5cea8d6eb9a0660034771ae0;02/07/2019;0;1;0;0.0;0.047619047619047616;21;11.0;2;2;1
ObjectId(5d448e88950e890002a3ab27);COCA-COLA FEMSA;Condor - Curitiba - Pinheirinho;5d2dfec294131f00024d67ef;04/08/2019;0;0;0;0.0;0.0;314;276.0;72;2;1
ObjectId(5d555880aa01840002e30eee);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5cf7a4cee3ab1c00025c62eb;17/08/2019;0;0;0;0.0;0.0;314;258.0;75;2;1
ObjectId(5d570c0f1b37ef00023cc1e3);AMBEV RS;Posto - Av Professor Oscar Pereira 2527;5ceaadd4b9a0660034775e32;19/08/2019;8;0;0;0.5714285714285714;0.0;14;0;12;1;1
ObjectId(5d5b73ca0ae7b80002f35352);SANTA HELENA;Max Atacadista - São José dos Pinhais - Afonso Pena;5ce92798b9a0660034752df0;20/08/2019;0;0;0;0.0;0.0;15;9.0;0;1;1
ObjectId(5d5e08c515a2420002a6a0bb);LA VIOLETERA;Super Boni - Santa Candida;5d2f7b7370eaf40002ed41f9;29/08/2019;0;0;0;0.0;0.0;23;4.0;2;2;1
ObjectId(5d5ece7b276f7a0002453871);COCA-COLA FEMSA;Condor - Fazenda Rio Grande;5cc764c5e3cc6f00387529f3;27/08/2019;0;11;0;0.0;0.035031847133757961;314;126.0;54;2;1
ObjectId(5d5fff665ae4c900021e1645);COCA-COLA FEMSA;Condor - Curitiba - Wenceslau Braz;5d42f6f43df9e40002a7a004;23/08/2019;0;0;0;0.0;0.0;314;0;140;1;1
ObjectId(5d6ffad469e9fc00021b82c6);WEWISH;Super Muffato - Curitiba - Folloni;5d1fffcea074a90002146a5e;06/09/2019;0;11;0;0.0;1.0;11;9.0;2;2;1
ObjectId(5d8282965fc55900023e6318);MOINHO GLOBO ALIMENTOS;Big - Curitiba - Av. Paraná;5ce92798b9a0660034752df0;23/09/2019;0;1;0;0.0;0.2;5;6.0;4;2;1
ObjectId(5d8c2d4d0ee8a00002cd6f0b);VAPZA ALIMENTOS;Bavaresco - Paranaguá - Ouro Fino;5d670daad4d94b0002330e93;03/10/2019;0;10;0;0.0;1.0;10;46.0;2;1;1
ObjectId(5d8c2d540ee8a00002cd6f34);P&G;Max Contemporânea Atacarejo - Araucária;5d3b407e2c425000027895ec;03/10/2019;0;26;0;0.0;0.48148148148148145;54;122.0;59;2;1
ObjectId(5d949458a3e097000223b285);COCA-COLA FEMSA;Big - Curitiba - Portão;5d28e7901313480002c6bb94;03/10/2019;0;0;0;0.0;0.0;314;110.0;56;1;1
ObjectId(5d9567d34bc7d80002b8435d);VAPZA ALIMENTOS;TokSuper - Capão da Imbuia;5cc77920e3cc6f003875753a;10/10/2019;0;22;0;0.0;1.0;22;17.0;6;1;1
ObjectId(5d9aadd692c7a4000200dc1a);MOINHO GLOBO ALIMENTOS;Mercadorama - Curitiba - General Osório;5d50ce4418d17300029d9b7e;14/10/2019;0;2;0;0.0;0.4;5;40.0;11;2;1
ObjectId(5d9de758a121120002e4c95b);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5ce92798b9a0660034752df0;10/10/2019;0;0;0;0.0;0.0;174;45.0;30;1;1
ObjectId(5d9de77ca121120002e4c968);COCA-COLA FEMSA;Condor - Curitiba - Santa Cândida;5d1574b198473f0002f113bc;10/10/2019;0;0;0;0.0;0.0;314;117.0;20;2;1
ObjectId(5d9e2b286e234b00029c344d);MOINHO GLOBO ALIMENTOS;Big  - Foz do Iguaçu - Jardim Monjollo;5d557a20f880f500027c0405;09/10/2019;0;0;0;0.0;0.0;5;39.0;2;2;1
ObjectId(5da001d16dda0a000206a240);VAPZA ALIMENTOS;Bavaresco Centro;5d2b478afee3f400023e27af;11/10/2019;0;0;0;0.0;0.0;10;18.0;6;2;1
ObjectId(5da0bc48e4430200026ed519);COCA-COLA FEMSA;Mercadorama - Curitiba - Bacacheri;5d1574b198473f0002f113bc;12/10/2019;0;0;0;0.0;0.0;115;59.0;18;1;1
ObjectId(5da0c55c7d90ab0002ae4e39);COCA-COLA FEMSA;Big - Curitiba - Pinheirinho (erro);5d1fa4239445ca0002ad77d8;14/10/2019;0;0;0;0.0;0.0;174;60.0;22;2;1
ObjectId(5da0c5897d90ab0002ae4e4d);COCA-COLA FEMSA;Big - Curitiba - Portão;5d2f7b7370eaf40002ed41f9;17/10/2019;0;0;0;0.0;0.0;174;18.0;22;1;1
ObjectId(5da0c5b3cd71c60002310661);COCA-COLA FEMSA;Mercadorama - Curitiba - Batel;5ce92798b9a0660034752df0;15/10/2019;0;0;0;0.0;0.0;174;20.0;26;2;1
ObjectId(5da0c60acd71c60002310692);COCA-COLA FEMSA;Big - Curitiba - Portão;5ce92798b9a0660034752df0;14/10/2019;0;0;0;0.0;0.0;140;12.0;18;1;1
ObjectId(5da0c610cd71c600023106a1);COCA-COLA FEMSA;Big - Curitiba - Portão;5d2f7b7370eaf40002ed41f9;17/10/2019;0;0;0;0.0;0.0;140;27.0;18;2;1
ObjectId(5da0c6a8cd71c60002311486);COCA-COLA FEMSA;Condor - Curitiba - Pinheirinho;5ce92798b9a0660034752df0;15/10/2019;0;0;0;0.0;0.0;314;93.0;20;2;1
