activityId,companyName,establishmentName,workerId,date,numberOfRuptures,numberProductsOutStorage,numberProductsOutShelf,rateRuptures,rateOutStorage,mixSize,averageRating,duration,marker
ObjectId(5dc1c6a67b0e8300024d3d18),ANTHOR TECNOLOGIA,Maxxi - Pinhais -  Pinhais,5da2714befaf4f000224c5cb,2019-11-06,0,0,0,,,,0,117.0,1
ObjectId(5dc5ba16ba79c00002a0c90a),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Fazendinha,5d1fa4239445ca0002ad77d8,2019-11-09,0,0,0,,,,0,21.0,1
ObjectId(5dc5ba280e95ac0002894a86),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Boqueirão,5d1fa4239445ca0002ad77d8,2019-11-11,0,0,0,,,,0,15.0,1
ObjectId(5dca31d78ef8fa000295f70e),ANTHOR TECNOLOGIA,Maxxi - Pinhais -  Pinhais,5d1fa4239445ca0002ad77d8,2019-11-12,0,0,0,,,,0,18.0,1
ObjectId(5dd324833dbfa200025fd3e4),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d214ecd3cc3870002993d43,2019-11-19,0,0,0,,,,0,25.0,1
ObjectId(5dd32483444054000283ce54),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d214ecd3cc3870002993d43,2019-11-19,0,0,0,,,,0,14.0,1
ObjectId(5dd324837484410002440405),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d214ecd3cc3870002993d43,2019-11-19,0,0,0,,,,0,46.0,1
ObjectId(5dd45dd055cba70002c8a628),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-20,0,0,0,,,,0,86.0,1
ObjectId(5dd45dd09fcfc9000220223f),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-20,0,0,0,,,,0,173.0,1
ObjectId(5dd4be454377350002dc71c8),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Fazendinha,5d1fa4239445ca0002ad77d8,2019-11-23,0,0,0,,,,0,22.0,1
ObjectId(5dd4bed584f5a70002dcba50),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Boqueirão,5d1fa4239445ca0002ad77d8,2019-11-25,0,0,0,,,,0,16.0,1
ObjectId(5dd838ac70898e00023d9835),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d387f53d31d0e0002015b55,2019-11-23,0,0,0,,,,0,68.0,1
ObjectId(5dd838ac90b7fb00022c61cf),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d387f53d31d0e0002015b55,2019-11-23,0,0,0,,,,0,25.0,1
ObjectId(5dd838acf1a89900020bd617),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d387f53d31d0e0002015b55,2019-11-23,0,0,0,,,,0,52.0,1
ObjectId(5dd8a7d8641cb100022eebd6),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Fazendinha,5d16487bb67b2200027fd0b0,2019-11-30,0,0,0,,,,0,24.0,1
ObjectId(5dd9f237cf6c080002cf31fc),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-25,0,0,0,,,,0,48.0,1
ObjectId(5ddb4ad74a017300021806af),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Boqueirão,5d1fa4239445ca0002ad77d8,2019-12-02,0,0,0,,,,0,19.0,1
ObjectId(5ddc250d0401e80002c8fd09),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-26,0,0,0,,,,0,126.0,1
ObjectId(5ddc250d04cbe900022541de),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-26,0,0,0,,,,0,72.0,1
ObjectId(5ddc250d7c06c40002da44c4),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-26,0,0,0,,,,0,101.0,1
ObjectId(5dddb2ce772ff900027f447f),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-27,0,0,0,,,,0,105.0,1
ObjectId(5dddb2cee079c500029f9932),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-27,0,0,0,,,,0,121.0,1
ObjectId(5dddb2cefc4b7f0002cea1a7),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-27,0,0,0,,,,0,81.0,1
ObjectId(5de04ef4f47dcd00023fc448),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-29,0,0,0,,,,0,66.0,1
ObjectId(5de04ef4f47dcd00023fc44d),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-11-29,0,0,0,,,,0,38.0,1
ObjectId(5de1db358f5e96000267899f),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-12-02,0,0,0,,,,0,73.0,1
ObjectId(5de1db358f5e9600026789a4),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-12-02,0,0,0,,,,0,39.0,1
ObjectId(5deb1ceeab8c960002927cc1),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Fazendinha,5d16487bb67b2200027fd0b0,2019-12-14,0,0,0,,,,0,20.0,1
ObjectId(5decf38e1944cb0002efe84d),ANTHOR TECNOLOGIA,Camilo atacadista - Maringá - Centro,5d54c7b7412b660002d5a1e9,2019-12-09,0,0,0,,,,0,72.0,1
ObjectId(5dedbfe12139730002232450),ANTHOR TECNOLOGIA,Maxxi - Curitiba - Boqueirão,5cc764c5e3cc6f00387529f3,2019-12-16,0,0,0,,,,0,165.0,1
